assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
3,2,34740,4,"Daniel Sturridge (9),Branislav Ivanovic (51, 83),Fernando Torres (90+2)",Roberto Di Matteo,Chelsea,0,3,43,27,4,6,7,27,Saturday 31 March 2012,6,15,13,5,0,0,2,"James Collins (77),Eric Lichaj (80)",Alex McLeish,Aston Villa,3,2,0,0,0,0,Lee Mason,2-4,3,2,2011-2012,3,4,7,5,28,28,10,9,Villa Park,0,1
0,2,32051,0,,Roy Hodgson,West Brom,4,3,26,23,2,5,15,19,Saturday 31 March 2012,12,8,8,11,0,0,2,"Leon Osman (18),Victor Anichebe (68)",David Moyes,Everton,3,1,0,0,0,0,Peter Walton,2-0,5,2,2011-2012,3,6,2,7,26,27,5,13,Goodison Park,1,2
1,1,25700,1,Aaron Wilbraham (77),Paul Lambert,Norwich,3,4,26,41,7,6,26,9,Saturday 31 March 2012,9,12,11,9,0,1,2,"Clint Dempsey (2),Damien Duff (13)",Martin Jol,Fulham,0,3,0,0,0,0,Anthony Taylor,2-1,5,3,2011-2012,8,4,4,8,19,14,12,12,Craven Cottage,2,1
3,2,47007,3,"Sebastian Larsson (31, 55),Nicklas Bendtner (45+4)",Martin O'Neill,Sunderland,10,2,48,21,5,17,13,35,Saturday 31 March 2012,14,12,12,9,0,0,3,"Mario Balotelli (43 Pen, 85),Aleksandar Kolarov (86)",Roberto Mancini,Man City,0,2,0,1,0,0,Phil Dowd,3-3,4,0,2011-2012,4,8,3,7,17,30,7,15,Etihad Stadium,1,1
0,2,18033,1,Theo Walcott (37),Arsène Wenger,Arsenal,2,2,16,24,6,4,16,14,Saturday 31 March 2012,10,15,12,9,1,1,2,"Adel Taarabt (22),Samba Diakité (66)",Mark Hughes,QPR,3,6,0,0,0,0,Mike Dean,2-1,4,5,2011-2012,5,3,6,6,11,22,11,9,Loftus Road Stadium,2,5
0,1,19786,0,,Tony Pulis,Stoke,5,0,40,26,1,8,15,20,Saturday 31 March 2012,14,16,14,14,0,3,2,"Antolin Alcaraz (55),Victor Moses (90+3)",Roberto Martinez,Wigan,5,0,0,0,0,0,Mark Clattenburg,2-0,4,1,2011-2012,4,3,1,6,25,22,5,9,DW Stadium,4,2
1,1,25215,3,"Martin Petrov (63 Pen),Marcos Alonso (80),Kevin Davies (84)",Owen Coyle,Bolton,3,4,40,56,5,13,18,34,Saturday 31 March 2012,11,12,10,11,0,0,2,"Michael Kightly (53),Matthew Jarvis (88)",Terry Connor,Wolves,0,4,1,0,0,0,Jonathan Moss,2-3,3,4,2011-2012,9,7,7,6,27,24,16,13,Molineux Stadium,1,1
0,1,75570,0,,Martin Jol,Fulham,8,4,30,32,1,7,7,27,Monday 26 March 2012,6,17,17,6,0,0,1,Wayne Rooney (42),Alex Ferguson,Man Utd,0,2,0,0,0,0,Michael Oliver,1-0,7,2,2011-2012,1,4,2,9,15,13,3,13,Old Trafford,0,1
3,0,25049,3,"Papiss Demba Cissé (6, 34),Hatem Ben Arfa (12)",Alan Pardew,Newcastle,5,1,42,8,4,10,7,21,Sunday 25 March 2012,4,11,9,4,0,0,1,Shane Long (52),Roy Hodgson,West Brom,3,4,0,0,0,0,Chris Foy,1-3,1,4,2011-2012,3,9,7,2,22,34,10,11,The Hawthorns,1,0
1,1,27535,1,Yaya Touré (76),Roberto Mancini,Man City,0,5,31,33,7,5,20,17,Saturday 24 March 2012,14,15,14,14,1,0,1,Peter Crouch (59),Tony Pulis,Stoke,0,1,0,0,0,0,Howard Webb,1-1,1,5,2011-2012,5,7,6,3,18,23,11,10,Britannia Stadium,2,1
0,2,60108,0,,Alex McLeish,Aston Villa,4,2,26,12,5,15,13,20,Saturday 24 March 2012,13,7,7,10,0,0,3,"Kieran Gibbs (16),Theo Walcott (25),Mikel Arteta (90+3)",Arsène Wenger,Arsenal,3,2,0,0,0,0,Phil Dowd,3-0,4,0,2011-2012,1,7,0,8,8,19,1,15,Emirates Stadium,5,0
1,1,26901,1,Steven N'Zonzi (56),Steve Kean,Blackburn,4,2,27,43,4,11,13,24,Saturday 24 March 2012,4,8,8,4,1,0,2,"David Wheater (29, 35)",Owen Coyle,Bolton,2,1,0,0,0,0,Andre Marriner,2-1,2,2,2011-2012,6,9,3,4,39,37,9,13,Macron Stadium,2,0
0,1,44431,2,"Shaun Maloney (30 Pen),Gary Caldwell (63)",Roberto Martinez,Wigan,7,4,34,11,0,6,7,27,Saturday 24 March 2012,10,17,16,9,0,4,1,Luis Suárez (47),Kenny Dalglish,Liverpool,1,2,1,0,0,0,Lee Mason,1-2,4,0,2011-2012,2,6,2,5,11,34,4,11,Anfield,2,1
1,1,26752,1,Matthew Jarvis (25),Terry Connor,Wolves,4,6,34,59,5,5,31,18,Saturday 24 March 2012,10,12,10,9,2,0,2,"Grant Holt (26, 45+1 Pen)",Paul Lambert,Norwich,5,3,0,1,0,1,Mark Clattenburg,2-1,1,1,2011-2012,5,4,2,4,26,26,7,8,Carrow Road,2,1
